timestamp,source,event_type,src_ip,dst_ip,src_port,dst_port,proto,outcome,user,domain,uri,bytes,duration,rule_id,signature,method,status_code,user_agent,true_label,comment
2026-05-06 08:00:00,FW,net_conn,10.10.10.16,10.10.20.10,62643,445,tcp,success,,,,30304,0.02,,,,0,,normal,обычная активность
2026-05-06 08:00:35,FW,net_conn,10.10.10.30,10.10.30.10,3238,445,tcp,success,,,,15142,0.02,,,,0,,normal,обычная активность
2026-05-06 08:01:10,FW,net_conn,10.10.10.15,10.10.30.10,4128,445,tcp,success,,,,23618,0.02,,,,0,,normal,обычная активность
2026-05-06 08:01:45,WAF,http,10.10.10.21,10.10.20.10,18231,443,tcp,success,,,/docs,82485,0.02,,,GET,200,Mozilla/5.0,normal,обычная активность
2026-05-06 08:02:20,WAF,http,10.10.10.34,10.10.20.10,37846,443,tcp,success,,,/index,71775,0.02,,,GET,200,Mozilla/5.0,normal,обычная активность
2026-05-06 08:02:55,WAF,http,10.10.10.22,10.10.20.30,33434,443,tcp,success,,,/docs,13274,0.02,,,GET,200,Mozilla/5.0,normal,обычная активность
2026-05-06 08:03:30,FW,net_conn,10.10.10.19,10.10.30.10,51031,445,tcp,success,,,,31804,0.02,,,,0,,normal,обычная активность
2026-05-06 08:04:05,WAF,http,10.10.10.18,10.10.20.10,51591,80,tcp,success,,,/api/status,16792,0.02,,,GET,302,Mozilla/5.0,normal,обычная активность
2026-05-06 08:04:40,WAF,http,10.10.10.18,10.10.20.30,27409,443,tcp,success,,,/portal,50907,0.02,,,GET,200,Mozilla/5.0,normal,обычная активность
2026-05-06 08:05:15,WAF,http,10.10.10.39,10.10.30.10,43519,443,tcp,success,,,/portal,59031,0.02,,,GET,200,Mozilla/5.0,normal,обычная активность
2026-05-06 08:05:50,DNS,dns,10.10.10.39,10.10.30.10,10870,53,tcp,success,,docs.local,,60686,0.02,,,,0,,normal,обычная активность
2026-05-06 08:06:25,DNS,dns,10.10.10.17,10.10.20.20,57848,53,tcp,success,,corp.local,,25953,0.02,,,,0,,normal,обычная активность
2026-05-06 08:07:00,FW,net_conn,10.10.10.15,10.10.20.10,22858,445,tcp,success,,,,23690,0.02,,,,0,,normal,обычная активность
2026-05-06 08:07:35,WAF,http,10.10.10.41,10.10.20.30,16404,80,tcp,success,,,/portal,4671,0.02,,,GET,200,Mozilla/5.0,normal,обычная активность
2026-05-06 08:08:10,WAF,http,10.10.10.21,10.10.20.10,8505,443,tcp,success,,,/api/status,41599,0.02,,,GET,200,Mozilla/5.0,normal,обычная активность
2026-05-06 08:08:45,WAF,http,10.10.10.23,10.10.20.30,2386,80,tcp,success,,,/portal,11027,0.02,,,GET,200,Mozilla/5.0,normal,обычная активность
2026-05-06 08:09:20,WAF,http,10.10.10.14,10.10.20.30,61956,443,tcp,success,,,/index,14155,0.02,,,GET,302,Mozilla/5.0,normal,обычная активность
2026-05-06 08:09:55,FW,net_conn,10.10.10.30,10.10.30.10,24151,445,tcp,success,,,,12800,0.02,,,,0,,normal,обычная активность
2026-05-06 08:10:30,FW,net_conn,10.10.10.31,10.10.20.20,31541,445,tcp,success,,,,59459,0.02,,,,0,,normal,обычная активность
2026-05-06 08:11:05,DNS,dns,10.10.10.37,10.10.30.10,10468,53,tcp,success,,corp.local,,1034,0.02,,,,0,,normal,обычная активность
2026-05-06 08:11:40,FW,net_conn,10.10.10.14,10.10.20.30,41899,445,tcp,success,,,,78138,0.02,,,,0,,normal,обычная активность
2026-05-06 08:12:15,FW,net_conn,10.10.10.26,10.10.20.20,60600,445,tcp,success,,,,87392,0.02,,,,0,,normal,обычная активность
2026-05-06 08:12:50,WAF,http,10.10.10.34,10.10.20.30,39671,443,tcp,success,,,/docs,65181,0.02,,,GET,200,Mozilla/5.0,normal,обычная активность
2026-05-06 08:13:25,WAF,http,10.10.10.40,10.10.20.30,34676,80,tcp,success,,,/docs,51997,0.02,,,GET,200,Mozilla/5.0,normal,обычная активность
2026-05-06 08:14:00,WAF,http,10.10.10.23,10.10.20.20,31932,80,tcp,success,,,/index,39711,0.02,,,GET,200,Mozilla/5.0,normal,обычная активность
2026-05-06 08:14:35,WAF,http,10.10.10.24,10.10.20.20,12042,80,tcp,success,,,/docs,77747,0.02,,,GET,200,Mozilla/5.0,normal,обычная активность
2026-05-06 08:15:10,DNS,dns,10.10.10.33,10.10.30.10,10356,53,tcp,success,,docs.local,,26711,0.02,,,,0,,normal,обычная активность
2026-05-06 08:15:45,WAF,http,10.10.10.12,10.10.20.10,17272,80,tcp,success,,,/portal,79288,0.02,,,GET,200,Mozilla/5.0,normal,обычная активность
2026-05-06 08:16:20,WAF,http,10.10.10.24,10.10.20.10,15196,443,tcp,success,,,/docs,58356,0.02,,,GET,200,Mozilla/5.0,normal,обычная активность
2026-05-06 08:16:55,WAF,http,10.10.10.28,10.10.20.10,5128,80,tcp,success,,,/api/status,78126,0.02,,,GET,200,Mozilla/5.0,normal,обычная активность
2026-05-06 08:17:30,WAF,http,10.10.10.24,10.10.20.30,22322,443,tcp,success,,,/docs,5266,0.02,,,GET,200,Mozilla/5.0,normal,обычная активность
2026-05-06 08:18:05,WAF,http,10.10.10.35,10.10.20.20,6550,80,tcp,success,,,/portal,14852,0.02,,,GET,200,Mozilla/5.0,normal,обычная активность
2026-05-06 08:18:40,FW,net_conn,10.10.10.34,10.10.20.10,24650,445,tcp,success,,,,82786,0.02,,,,0,,normal,обычная активность
2026-05-06 08:19:15,DNS,dns,10.10.10.11,10.10.30.10,35838,53,tcp,success,,docs.local,,10400,0.02,,,,0,,normal,обычная активность
2026-05-06 08:19:50,WAF,http,10.10.10.20,10.10.20.10,27666,80,tcp,success,,,/docs,27690,0.02,,,GET,200,Mozilla/5.0,normal,обычная активность
2026-05-06 08:20:25,FW,net_conn,10.10.10.39,10.10.20.30,18443,445,tcp,success,,,,56972,0.02,,,,0,,normal,обычная активность
2026-05-06 08:21:00,WAF,http,10.10.10.34,10.10.30.10,41058,80,tcp,success,,,/index,48083,0.02,,,GET,200,Mozilla/5.0,normal,обычная активность
